nct_id,new pubs?,extrapub,extra2pub,exclude:head_to_head,exclude:location,exclude:Primary_endpoint_is_efficacy,exclude:Has a phase 3,exclude:other exlusions,include,indication,degenerative,sens,symptom,symptom,phase,age,approva_status,pharmafunding,Enrollment,Startdate,Primary Completion Date,trialduration ,notes,notes from screening ,termination_status,terminated_reason,terminationcode,Primary_outcome,More_than_one_dose,Whichdoseisprimary,results_available,positivityofP3,measure,Is_there_a_SMD,diffbaselineexp,diffbaselinecont,Mean_difference,Mean_difference_type,variance_type,lowerCI,upperCI,p_value,Is_there_a_WDAE,withdrawals_in_exparm,Nexp_arm,withdrawals_in_contarm,Ncont_arm,Truebypass,Ambigious,bad_endpoint,Nonpositive,preceeded,notes,notes 2
NCT00548405,,10.1016/S0140-6736(12)61768-1,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,RMS,0,0,Alemtuzumab,Not_symptom_focus,Phase_3,Adult,postapproval,pharma,840,7-Oct,11-Sep,1431,NULL,,Not_terminated,N_A,0,"Coprimary endpoints were relapse rate and time to 6 month sustained accumulation of disability,",Yes,12 mg (included in primary analyses),1,Positive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,1,436,6,231,0,0,0,0,1,,
NCT00574132,,10.1056/NEJMoa1304839,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,1,0,Bapineuzumab,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1331,7-Dec,12-Jun,1644,non-carrier trial,,Not_terminated,N_A,0,"the ADAS-cog11 and DAD scores,",Yes,took 1mg,1,Nonpositive,ADAS-cog11,1,7.8,7.4,0.4,"least squares mean difference, POINT = NEGATIVE",95,-1.1,1.8,0.62,1,29,329,40,524,0,1,0,1,0,,
NCT00575055,,10.1056/NEJMoa1304839,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,1,0,Bapineuzumab,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1121,7-Dec,12-Apr,1583,NULL,,Not_terminated,N_A,0,"week 78 on the 11-item cognitive subscale of the Alzheimer's Disease Assessment Scale (ADAS-cog11, with scores ranging from 0 to 70 and higher scores indicating greater impairment)17 and the Disability Assessment for Dementia",No,carriers,1,Nonpositive,ADAS-cog,1,8.5,8.7,-0.2,least squares mean difference from placebo,95,-1.4,1,0.8,1,74,673,34,448,0,1,0,1,0,,
NCT00594568,,10.1056/NEJMoa1210951,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,1,0,Semagacestat,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1537,8-Mar,11-May,1156,NULL,,Terminated,Terminated_for_futility,1,ADAS-cog and the ADCS-ADL,Yes,140 mg (took highest),1,Nonpositive,mean change in ADAS-cog,,7.8,6.4,NULL,NULL,,NULL,NULL,0.07,1,144,529,51,501,0,1,1,0,0,,
NCT00605215,,10.1007/s00415-014-7264-4,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,RMS,0,0,Laquinimod,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1331,24-Apr-08,10-Jun-11,1142,NULL,,Not_terminated,N_A,0,Annualized Rate of Confirmed Relapses,No,laq vs placebo group is primary,1,Nonpositive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,21,434,19,450,0,0,0,0,1,,
NCT00664209,,no results-skip results sectionÊ,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,PD,1,1,"Clartihromycin, amoxicillin, and omeprazole",Not_symptom_focus,Phase_3,Mixed,postapproval,Non_pharma,64,8-Jan,11-Jun,1247,NULL,,Terminated,Terminated_for_other_reasons,0,NULL,,NULL,0,,,,,,,,,,,,,,,,,1,0,0,0,0,,
NCT00665223,,10.1016/S1474-4422(11)70233-2,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,Huntingtons,1,0,Pridopidine ACR16,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,437,8-Apr,11-Jun,1156,NULL,,Not_terminated,N_A,0,change in modified motor score at 26 weeks,Yes,90 mg (took highest),1,Nonpositive,mMS,,-0.77,0.22,-0.99,n/a,,-2.08,0.1,0.042,1,7,145,8,144,0,1,0,1,0,,
NCT00667810,,https://doi.org/10.1186/s13195-016-0189-7,,1,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,1,0,Bapineuzumab,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,901,8-Jun,12-Oct,1583,NULL,,Terminated,Terminated_for_futility,1,ADAS-Cog/11) score and Disability Assessment for Dementia (DAD) total score,Yes,took 1mg bc 2 mg only has 2 patients,1,Nonpositive,change from baseline in ADAS-Cog11,,NULL,NULL,NULL,NULL,95,NULL,NULL,0.848,1,14,264,19,346,0,1,0,1,0,,
NCT00676143,,10.1186/s13195-016-0189-7,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,1,0,Bapineuzumab,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1100,8-Jan,12-Oct,1735,NULL,,Terminated,Terminated_for_futility,1,AlzheimerÕs Disease Assessment ScaleÐCognitive subscale and the Disability Assessment for Dementia.,No,NA,1,Nonpositive,change from baseline in ADAS-Cog11,,NULL,NULL,NULL,didn't find actual numbers?,95,NULL,NULL,0.979,1,60,658,34,441,0,1,0,1,0,,
NCT00712426,,10.1212/WNL.0000000000004209,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,Huntingtons,1,0,Creatine,Not_symptom_focus,Phase_3,Adult,preapproval,Non_pharma,553,9-Sep,14-Dec,1917,NULL,,Terminated,Terminated_for_futility,1,reduced rate of decline in TFC compared with controls.,No,NA,1,Nonpositive,NA,,Na,NA,NA,NA,,NA,NA,NA,,,,,,0,1,0,1,0,,
NCT00724048,,10.1002/mds.25362,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,Huntingtons,1,0,Pridopidine ACR16,Not_symptom_focus,Phase_2slash3,Adult,preapproval,pharma,227,8-Oct,11-Jun,973,phase is unclear,,Not_terminated,N_A,0,Change from baseline Modified Motor Score,Yes,90 mg (hierarchical),1,Nonpositive,mMS,,,NULL,-1.17,"treatment effect, POINT = POSITIVE",,-2.47,0.13,0.08,1,1,58,2,58,0,0,0,0,1,,
NCT00762411,,ct.govÊ,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,1,0,Semagacestat (LY450139),Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1111,8-Sep,11-Apr,942,NULL,,Not_terminated,N_A,0,(ADAS-Cog11) at 76 Weeks and (ADCS-ADL) at 16 Weeks and (ADAS-Cog11) at 16 Weeks After Cessation of Study Drug,No,NA-but so many primaries,1,Nonpositive,Adascog at 76 weeks,,7.37,6.77,NA,NULL,,NA,NA,0.56,1,132,556,40,555,0,1,1,0,0,,
NCT00818662,,10.1212/WNL.0000000000003904,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,1,0,Immune Globulin Intravenous (IGIV 10%),Not_symptom_focus,Phase_3,Adult,preapproval,pharma,390,19-Dec-08,10-Dec-12,1452,NULL,,Not_terminated,N_A,0, ADAS-Cog and the ADCS-ADL,Yes,0.4 g/kg (400),1,Nonpositive,adas cog,1,7.42,8.43,-0.8,\tDifference in least-square means,95,-3.1,1.5,0.476,1,5,127,7,121,0,1,1,0,0,,
NCT00822900,,10.1056/NEJMoa1404304,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,TBI,0,0,Progesterone,Not_symptom_focus,Phase_3,Adult,postapproval,Non_pharma,882,10-Mar,14-May,1522,NULL,,Terminated,Terminated_for_futility,1,"associated with an absolute increase of 10 percentage points, as compared with placebo, in the proportion of patients with a favorable outcome Favorable Outcome as Determined by the Glasgow Outcome Scale-Extended (GOSE)",No,NA,1,Nonpositive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NA,NULL,NULL,NULL,0,0,0,0,1,,
NCT00829374,,https://link.springer.com/article/10.1007/BF03256900,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,1,0,Dimebon and Donepezil,Not_symptom_focus,Phase_3,Adult,preapproval,Non_pharma,1003,9-Mar,11-Dec,1005,NULL,,Not_terminated,N_A,0,co-primaries: ADAS-cog and ADCS-ADL,Yes,no SMD or WdAE for eitherÊ,1,Nonpositive,NA,,NULL,NULL,NULL,NULL,95,NULL,NULL,NULL,,NA,NULL,NULL,NULL,0,0,0,0,1,,
NCT00860366,,10.1016/S1474-4422(14)70054-7,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,Stroke,0,0,Uric Acid and rtPA,Not_symptom_focus,Phase_2slash3,Adult,preapproval,Non_pharma,421,11-Jun,13-Aug,792,NULL,,Not_terminated,N_A,0,"excellent outcome, defined as an mRS score of 0Ð1, or an mRS score of 2 if the premorbid mRS was 2, at 90 days.",No,NA,1,Nonpositive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NA,NULL,NULL,NULL,0,0,0,0,1,,
NCT00868166,,https://doi.org/10.1111/ene.12344,,1,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,ALS,1,1,TRO19622 (Olesoxime) as add-on Therapy to Riluzole,Not_symptom_focus,Phase_2slash3,Adult,preapproval,pharma,512,30-Apr-09,30-Sep-11,883,NULL,,Not_terminated,N_A,0,Overall Survival Rate at 18 Months,No,NA,1,Nonpositive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,9,259,10,253,0,0,0,0,1,,
NCT00893867,,10.1161/STROKEAHA.111.000013,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,Stroke,0,0,DP-b99,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,446,9-Dec,12-Apr,852,NULL,,Terminated,Terminated_for_futility,1,compared distributions of functional status measured by modified Rankin score,No,NA,1,Nonpositive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NA,NULL,NULL,NULL,0,1,0,1,0,,
NCT00904683,,10.1056/NEJMoa1312889,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,1,0,Solanezumab,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1040,9-May,12-Jun,1127,NULL,,Not_terminated,N_A,0,ADAS-cog14 and the ADCS-ADL,No,NA,1,Nonpositive,ADAS-cog14 score,1,5.9,7.5,-1.6,mean difference,95,-3.1,0.1,0.04,1,39,521,41,519,0,1,1,0,0,,
NCT00905372,,10.1056/NEJMoa1312889,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,1,0,Solanezumab,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1000,9-May,12-Apr,1066,NULL,,Not_terminated,N_A,0,"changes from baseline to week 80 in scores on the 11-item cognitive subscale of the Alzheimer's Disease Assessment Scale (ADAS-cog11; range, 0 to 70, with higher scores indicating greater cognitive impairment) and the Alzheimer's Disease Cooperative StudyÐActivities of Daily Living scale (ADCS-ADL; range, 0 to 78, with lower scores indicating worse functioning)",No,NA,1,Nonpositive,ADAS-cog11,1,3.8,4.5,-0.8,mean modeled difference,95,-2.1,0.5,0.24,1,33,506,39,506,0,1,1,0,0,,
NCT00920946,,10.1001/2013.jamaneurol.382,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,Huntingtons,1,0,Latrepirdine (Dimebon),Not_symptom_focus,Phase_3,Adult,preapproval,Non_pharma,403,9-Jul,11-Jul,730,NULL,,Not_terminated,N_A,0,cognition as measured by the change in Mini-Mental State Examination score from baseline to week 26 and global function at week 26 as measured by the Clinician InterviewÐBased Impression of Chang,No,NA,1,Nonpositive,MMSE,,1.5,1.3,0.2,mean change,,-0.3,0.7,0.39,,NA,NULL,NULL,NULL,0,1,1,0,0,,
NCT01064401,,10.1056/NEJMoa1501481,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,RMS,0,0,BIIB019 (Daclizumab High Yield Process),Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1841,10-May,14-Mar,1400,NULL,,Not_terminated,N_A,0,Adjusted Annualized Relapse Rate,No,NA,1,Positive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,56,919,47,922,0,0,0,0,1,,
NCT01143064,,10.1056/NEJMoa1411090,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,TBI,0,0,Progesterone,Not_symptom_focus,Phase_3,Mixed,postapproval,pharma,1195,10-Jun,14-Mar,1369,NULL,,Not_terminated,N_A,0,Glasgow Outcome Scale (GOS) score at 6 months,No,NA,1,Nonpositive,NA,,,NULL,NULL,NULL,,NULL,NULL,NULL,1,0,597,1,598,0,0,0,0,1,,
NCT01155466,,10.1001/jamaneurol.2015.2268,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,PD,1,1,Preladenant + levadopa,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,778,14-Jul-10,20-Dec-12,890,NULL,,Not_terminated,N_A,0,change in off time from baseline to week 12,Yes,10 mg of preladenant (took highest),1,Nonpositive,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,6,156,17,155,0,0,0,0,1,,
NCT01155479,,10.1212/WNL.0000000000004003,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,PD,1,1,Preladenant,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1022,6-Jul-10,16-Jul-13,1106,NULL,,Terminated,Terminated_for_company_reasons,0,change from baseline in the sum of UPDRS parts 2 and 3 scores (UPDRS213).,Yes,preladenant 10 mg is superior to placebo,1,Nonpositive,UPDRS2+3,,-1.8,-2.2,0.4,difference,95,-1.29,2.11,0.64,1,18,206,7,204,0,0,0,0,1,,
NCT01194570,,10.1056/NEJMoa1606468,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,PMS,1,0,Ocrelizumab,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,735,2-Mar-11,23-Jul-15,1604,NULL,,Not_terminated,N_A,0,percentage of patients with disability progression confirmed at 12 weeks in a time-to-event analysis,No,NA,1,Positive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,18,488,12,244,1,0,0,0,0,,
NCT01224106,,10.1186/s13195-017-0318-y,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,1,0,Gantenerumab,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,799,30-Nov-10,10-Sep-20,3572,NULL,,Terminated,Terminated_for_futility,1,change from baseline in CDR-SB at week 104,Yes,225 mg (higher dose),1,Nonpositive,ADAS-Cog 13,1,5.54,5.77,-0.27,lsmd,95,-2.23,1.7,0.79,1,24,260,13,266,1,0,0,0,0,,
NCT01227265,,10.1001/jamaneurol.2015.2268,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,PD,1,1,preladenant and levadopa,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,476,19-Nov-10,4-Apr-13,867,NULL,,Not_terminated,N_A,0,Change from baseline in average 'off' time,Yes,Took higher-5 mg-say 5mg is primary in protocol kinda,1,Nonpositive,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,10,159,5,159,0,0,0,0,1,,
NCT01227655,,10.1001/jamaneurol.2016.4703,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,PD,1,1,Opicapone as Adjunct to Levodopa Therapy,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,427,11-Mar,12-Jul,488,NULL,,Not_terminated,N_A,0,change from baseline in absolute off-time vs placebo based on patient diaries,Yes,50 mg (higher dose),1,Positive,UPDRS2+3,,-3.5,-3.5,,,,,,0.45,1,17,154,9,144,0,1,1,0,0,,
NCT01247324,,10.1056/NEJMoa1601277,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,RMS,0,0,Ocrelizumab,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,821,31-Aug-11,2-Apr-15,1310,NULL,,Not_terminated,N_A,0,Annualized Relapse Rate,No,NA,1,Positive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,13,410,25,411,0,0,0,0,1,,
NCT01281189,,10.1016/S1474-4422(13)70221-7,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,ALS,1,1,Dexpramipexole,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,942,11-Mar,12-Nov,611,NULL,,Not_terminated,N_A,0,Composite Assessment of Function and Survival (CAFS),No,NA,1,Nonpositive,NA,,,,NULL,NULL,,NULL,NULL,NULL,1,35,474,15,468,0,1,0,1,0,,
NCT01412333,,10.1056/NEJMoa1601277,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,RMS,0,0,Ocrelizumab,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,835,20-Sep-11,12-May-15,1330,NULL,,Not_terminated,N_A,0,"annualized relapse rate by 96 weeks,",No,NA,1,Positive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,16,417,25,418,0,0,0,0,1,,
NCT01433497,,10.1212/NXI.0000000000001148,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,PMS,1,0,Masitinib,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,656,11-Aug,19-Sep,2953,NULL,,Not_terminated,N_A,0,overall EDSS change from baseline,Yes,They say they are separate so took 6.0 for secondaries,1,Positive,EDSS,,0.009,-0.005,0.014,"least squares mean difference, POINT = negative",,-0.111,0.14,0.802,1,40,203,4,107,0,1,0,1,0,,
NCT01568073,,10.1016/S1474-4422(15)00336-1,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,PD,1,1,Bia 9-1067- opicapone and levodopa,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,600,11-Mar,13-Nov,976,NULL,,Not_terminated,N_A,0,change from baseline in absolute OFF-time at the end of the DB period,Yes,superiority first took 50 mg,1,Positive,Total UPDRS,,-6.1,-5.4,,,,,,0.56,1,5,116,8,121,0,1,1,0,0,,
NCT01604785,,https://doi.org/10.1016/j.jemermed.2018.01.003,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,Headache,0,1,Propofol,Not_symptom_focus,Phase_2slash3,Pediatric,postapproval,Non_pharma,74,12-Nov,16-Aug,1369,maybe non inferiority?,,Not_terminated,N_A,0,percent of pain reduction,No,Na,1,Nonpositive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NA,NULL,NULL,NULL,0,0,0,0,1,,
NCT01639014,,no results-skip results sectionÊ,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,Stroke,0,0,F2695- Levomilnacipran,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,532,12-Jul,15-Feb,945,NULL,,Not_terminated,N_A,0,NULL,NULL,NULL,0,,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NA,NULL,NULL,NULL,1,0,0,0,0,,
NCT01661322,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)32849-0/fulltext,,https://www.ahajournals.org/doi/10.1161/str.49.suppl_1.103,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,Stroke,0,0,"Aspirin, Dipyradimole, Clopidogrel",Not_symptom_focus,Phase_3,Adult,postapproval,Non_pharma,3096,9-Apr,17-Sep,3075,NULL,,Terminated,Terminated_for_futility,1,ordinal stroke severityÊ,No,NULL,1,Nonpositive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NA,NULL,NULL,NULL,1,0,0,0,0,,
NCT01665144,,10.1016/S0140-6736(18)30475-6,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,PMS,1,0,Siponimod,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1652,20-Dec-12,29-Apr-16,1226,NULL,,Not_terminated,N_A,0,Time to 3 month CDP,No,NA,1,Positive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,45,1105,18,546,0,0,0,0,1,,
